[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.00020854 274750 9.27725 3.4193
0.000169783 314098 9.31213 3.75739
0.000142109 296087 7.93919 2.86018
0.000162156 295774 8.55424 3.30222
9.31305e-05 456527 9.12845 4.24686
0.000156127 291344 8.67616 3.45927
6.21534e-05 594093 8.01663 2.59434
0.000146061 335278 8.88297 3.6824
0.000105925 371954 7.91382 2.92093
0.000173819 303544 8.92471 3.41867
0.000142908 329506 8.64124 3.26234
8.9748e-05 480858 8.31775 3.367
0.000135215 315834 8.03938 3.12882
0.00013931 341895 8.35898 2.91982
0.000135159 354074 8.88417 3.98955
8.24983e-05 504796 8.38732 3.03613
0.000106639 400190 8.78208 3.15164
0.000126114 379122 8.678 3.02731
9.23349e-05 489756 9.07011 4.04222
0.000127613 371951 8.47756 3.14375
9.7333e-05 474212 9.03327 3.42582
9.99972e-05 382463 8.28667 2.78745
0.00011923 364954 8.40161 3.31822
0.000160445 341315 9.1964 3.85692
0.000157069 293671 8.62944 3.43189
0.000137087 322530 8.61666 3.15994
0.000146129 342767 9.49944 4.19502
0.0001327 413040 8.78233 3.25045
0.000139592 321936 8.19751 2.65995
0.000128152 325560 8.50424 3.18987
0.000159312 295709 8.65364 3.59849
0.000159266 299101 8.97101 3.66722
0.000126252 360340 8.88631 4.07017
7.6327e-05 452600 8.28571 3.47521
7.96751e-05 492449 8.94841 3.88519
0.000118404 396681 8.62316 3.39312
8.38808e-05 549219 9.42794 4.34228
0.000176973 302311 8.96845 3.18136
0.000149789 331474 9.10143 4.00836
0.000204713 267925 9.55149 4.24032
0.000146879 334702 9.36328 3.78998
5.23084e-05 705577 8.10226 3.22777
7.76275e-05 556118 9.02597 4.20401
3.83015e-05 1.06709e+06 8.63765 3.12063
9.52665e-05 482312 9.22966 3.60217
0.000143183 318802 8.90296 3.23216
0.000114187 392045 8.75852 3.78371
0.000106707 454141 9.12841 3.72225
0.000102008 485886 8.81452 3.47174
0.000188099 270261 8.63198 3.84753
0.00018387 282306 8.78582 3.30655
0.000211583 258139 8.98554 3.99536
0.0001936 276020 9.87838 3.97553
0.000166609 294022 8.35792 3.11782
0.000197365 270556 9.43796 4.13308
0.00013243 318579 8.18305 3.197
8.69914e-05 444173 7.65989 3.39354
0.000160746 302222 9.02047 3.50847
0.000136856 318997 8.12767 3.43161
0.000105752 437690 8.53723 3.2118
8.01726e-05 516940 8.58697 3.78959
0.000113228 402700 9.2439 3.69961
0.000131489 374532 8.59019 3.11079
9.09078e-05 427283 8.41549 2.9955
0.000122588 393146 9.07259 3.75976
7.35339e-05 493817 8.2073 3.31749
0.000125972 372170 8.71322 3.25738
0.00016732 274322 8.11095 2.94224
0.000196458 264058 8.74029 3.11232
0.000145495 347121 9.35378 4.2061
0.000136581 367603 8.73557 3.35812
3.72474e-05 994223 8.20457 2.88816
0.000112961 457386 9.55231 4.44296
0.000187097 291922 10.124 4.77951
0.000146425 334372 8.2994 2.91044
0.000132604 349703 8.54709 3.76344
0.000152008 324048 8.8418 3.52672
0.000125041 398077 8.93787 3.5446
0.000133103 336842 7.94047 2.73019
0.000167321 312720 9.60161 4.03655
0.000139831 350880 9.10481 4.25441
0.000170841 283614 9.10392 4.46165
0.000139973 348054 9.28656 3.81262
0.000111265 378194 8.13603 2.35404
4.74733e-05 766937 8.39552 3.26087
0.000127218 370834 8.38541 2.38683
0.000165663 273735 8.44169 2.59317
0.000162342 302869 8.45832 3.34782
0.000151732 333892 8.80729 3.073
0.000164633 318960 9.1629 3.80291
0.000140877 312204 9.07644 3.80367
2.54458e-05 1.36042e+06 7.73207 2.28035
3.40477e-05 1.30526e+06 8.9034 3.62581
1.8683e-05 1.78461e+06 8.30275 3.75453
2.43207e-05 1.75443e+06 8.5709 3.16112
0.000131108 360811 8.96206 3.88915
9.94275e-05 401370 8.65883 3.3817
0.000103781 443954 9.53655 4.26311
0.000150081 318948 8.85256 4.07643
0.00016335 276680 8.75588 3.13775
0.00015022 351659 8.86926 3.53468
0.000139653 360092 9.08752 3.46346
9.39933e-05 442823 8.57695 3.29925
0.000111418 382538 8.18788 2.83681
0.000103187 421404 8.78677 3.34693
0.000154516 296307 8.38233 3.45388
0.000104766 408916 8.33842 3.24745
9.32097e-05 459192 8.12331 2.87059
0.000100039 426866 8.68768 3.52601
5.7213e-05 642703 7.92302 3.33724
0.000105753 434107 8.73168 3.99729
0.000126416 356396 9.13326 3.51121
0.00013164 355581 8.62795 3.18579
0.000135672 338748 8.5061 3.45891
0.000144457 341325 8.74154 3.5277
0.000180251 306094 9.30684 3.62392
0.00010531 398986 8.41998 3.06976
7.089e-05 545879 8.72068 3.86242
6.04626e-05 668207 8.80384 3.45499
0.000115512 361222 8.33212 2.96527
0.000113964 391476 8.9691 3.57251
0.000156038 290882 8.34543 2.96474
7.79607e-05 511394 7.98307 3.01406
0.000102951 416403 8.03181 3.14523
0.000105596 407247 8.25198 2.55837
7.91284e-05 487685 7.4577 1.94318
0.000102479 435290 8.84271 4.26678
0.000143575 328563 8.0429 2.62107
0.000160427 352932 9.46121 3.92889
0.000106202 363936 7.73982 3.46582
0.00013778 345328 8.7517 3.47844
0.000159564 299140 8.94957 3.4884
0.000125517 347946 7.97607 2.94428
6.98312e-05 608702 8.94994 3.6919
0.000125677 386634 8.75875 3.44213
0.00016951 287393 8.79823 3.9649
0.000175475 265467 9.23371 3.78664
9.31924e-05 435181 8.16202 2.6767
8.6872e-05 500512 9.26755 4.39842
8.85248e-05 433991 8.27281 3.67149
8.96821e-05 428116 8.46892 3.65398
0.000127884 344441 8.78008 3.7987
0.000127146 337466 9.04544 3.88361
0.000100323 452470 8.86065 4.24279
5.86043e-05 730201 8.78096 3.9919
0.000152505 336966 9.21815 4.00551
0.00010925 387572 8.07897 3.50183
0.000128485 329255 7.9049 3.15011
0.000137892 330449 8.48358 3.51827
0.000155848 343265 8.77913 3.52357
0.000154092 326198 9.76649 4.61931
0.000114952 381215 7.62689 2.40364
0.00010742 365776 8.52588 3.70514
0.000124716 379782 8.52442 3.58173
5.26597e-05 723755 8.11694 3.14142
0.00014843 308544 8.43167 2.92718
0.000204723 255315 8.60004 3.57075
0.000164313 275078 8.81963 4.03279
6.99739e-05 533530 7.88662 3.34503
5.6388e-05 685743 8.03443 3.27909
0.00010833 378475 8.39317 3.63749
0.000120469 343623 8.14693 2.92556
0.000148665 341536 9.12735 3.98674
0.000110763 350632 8.53459 2.76537
0.00011684 402360 9.243 4.17695
9.61457e-05 440499 8.55937 3.27751
0.000143291 316027 8.14795 2.97483
0.000116509 347644 7.99042 2.95652
0.000102909 423570 8.67914 3.96296
0.000149364 299586 8.15986 2.93792
0.000124533 356007 9.04435 3.63007
9.73075e-05 448614 8.62264 3.01469
0.000130108 364006 8.65136 3.59259
0.000129511 304651 7.712 2.0718
0.00011676 336810 8.4994 3.15555
8.68579e-05 472282 8.24106 2.9925
8.84167e-05 436572 8.50221 3.94893
0.000116551 367264 8.34488 3.4349
4.64414e-05 737596 8.54279 3.33525
0.000102516 394963 8.3803 2.68558
0.000100681 440467 8.16846 2.43874
6.08581e-05 669204 9.30719 3.94651
7.68395e-05 588177 8.52373 3.09549
0.000141287 311824 8.28911 2.97918
0.00016071 301536 9.20634 4.20528
0.000157818 317569 8.68803 3.91758
0.000157249 320631 8.97496 3.63271
0.000119222 371905 8.7573 3.62752
0.000186561 299799 10.1161 4.53597
0.000126202 347830 7.89665 3.06574
0.000127906 341128 8.28467 3.07763
0.000145366 294731 8.23076 2.67075
0.000189966 296628 9.58735 4.01444
0.000227828 266253 10.0872 3.88412
0.000200172 250511 8.34249 2.87243
0.000239795 252254 9.7918 4.28625
0.000230707 240310 9.31143 4.25129
0.000165661 275175 8.90143 4.43897
0.000114085 432063 9.32101 4.09706
7.63053e-05 526355 8.13036 3.12113
3.39345e-05 1.07859e+06 7.67068 2.86256
0.000143647 333051 8.61093 3.52829
6.22895e-05 624497 8.19585 3.06528
5.85439e-05 630922 8.68319 2.96398
7.86343e-05 503935 7.65131 2.45768
9.69236e-05 481953 8.94041 3.50634
0.000119147 352438 8.03471 2.88
0.000126847 362157 8.33814 2.93406
0.000122326 375981 8.95971 3.98016
7.27589e-05 533556 7.88397 2.58282
0.000132689 339838 8.58102 3.23061
0.00012276 346280 8.04258 2.73124
8.41985e-05 516092 9.42844 4.34478
0.000141759 320516 8.75065 3.34694
7.91811e-05 497909 8.39464 3.19605
0.000150777 307103 8.68283 3.66212
0.000169701 318924 9.35375 3.91842
8.93123e-05 511196 8.81384 3.15471
8.41709e-05 456339 8.47549 3.28333
0.000105979 394275 8.44968 3.38217
5.28585e-05 774361 8.27835 3.45989
9.988e-05 469571 9.33897 3.46072
8.82314e-05 465780 8.48388 3.26933
0.000162164 299840 9.20829 4.16754
0.000180731 258333 7.96357 2.96647
0.000187362 288473 8.53192 3.50604
0.000155198 285845 8.20396 2.7901
8.17935e-05 503258 8.78963 3.40278
0.000126207 342158 8.31646 2.47334
0.000155591 326893 9.12195 3.71207
0.000116972 392162 8.2684 3.20217
8.04351e-05 530453 8.26889 2.8181
0.000115291 371216 8.79597 3.41083
5.36714e-05 667088 8.0742 2.91474
6.02367e-05 662284 8.49594 3.41771
0.000158939 314118 9.15842 3.87934
0.000115981 381482 7.96869 2.95019
0.000111024 412814 8.97476 3.61832
6.33757e-05 651098 8.66239 2.96668
9.94329e-05 479813 8.65048 3.09428
9.62047e-05 428973 8.36132 3.61873
8.9119e-05 521724 9.02653 3.6444
7.60988e-05 507637 8.23734 2.80114
9.38109e-05 423722 8.11679 2.63306
0.000120083 372098 8.48067 2.80288
0.000105405 438079 8.05052 2.83531
6.89501e-05 572713 8.87894 4.06558
6.50223e-05 624440 8.69749 4.29387
5.38579e-05 816379 9.21 4.46594
8.65946e-05 518746 8.91458 4.39306
0.000124376 319457 7.44453 2.70402
9.11354e-05 436584 7.83472 3.42919
0.000105841 404053 8.05867 3.04364
0.000147983 302136 8.42272 2.96405
0.000202954 252221 8.46161 2.80987
0.000183632 281676 9.24198 3.91481
0.000161832 315399 8.86444 3.67063
0.000158692 335696 8.86281 3.4878
0.000127022 351767 8.66341 3.8215
0.000166834 300821 8.58168 2.99714
0.000104626 460223 9.00603 3.29385
6.50177e-05 649869 8.99996 3.51288
9.28547e-05 455283 8.41509 3.66222
0.000120521 391234 9.03877 3.74132
0.000119331 413804 9.09734 3.48601
9.52249e-05 499784 9.10419 3.49234
0.000146809 330351 9.27328 3.46201
0.000126476 357641 8.98008 3.58134
0.000126766 352639 8.09283 3.052
5.36445e-05 700209 8.0958 3.57166
0.00012069 367497 8.70603 2.72081
9.35818e-05 474540 8.52348 3.33297
0.000131554 368778 8.82616 3.42652
0.000132431 321932 8.12945 3.04383
9.55631e-05 450542 8.42389 3.32745
0.000109251 450334 8.8673 3.01628
0.000128901 360394 8.18012 2.66076
0.000119006 407430 8.5979 3.55586
9.02638e-05 481107 8.5821 3.42003
0.000108123 382492 8.51638 3.54142
4.72084e-05 822654 8.32267 3.14786
0.000116987 405004 8.90184 3.26673
0.000130846 347095 8.15855 3.07707
0.00010075 409943 8.34476 2.51822
0.000168468 284588 8.93439 3.8864
0.000151316 308716 8.60766 3.03664
0.00010149 396057 7.65241 2.9992
7.82336e-05 515526 7.64428 2.75432
0.000151746 316743 8.75043 3.19673
0.000122673 372214 8.18248 3.4235
0.000155338 302383 8.59827 2.80302
0.000167381 340217 9.24099 3.91751
8.56873e-05 541448 8.81336 3.73464
9.82593e-05 457387 9.51848 4.27457
9.76503e-05 427960 8.29025 3.45019
8.17229e-05 526156 8.45413 3.42277
2.89228e-05 1.31362e+06 8.05697 3.24284
3.23109e-05 1.08779e+06 8.54032 2.96489
0.000119071 408519 8.27266 2.9761
7.50257e-05 554084 8.52832 3.00212
0.000106325 408020 8.35981 3.14312
7.98314e-05 453056 8.31327 2.9759
0.000163665 308045 8.64981 3.11835
0.000114423 398793 8.5247 3.07187
0.000131885 350692 8.49773 3.32002
0.00010134 455946 8.93498 3.4024
7.23273e-05 552347 8.73253 3.77118
0.000100663 431949 8.52071 3.75438
0.000100601 433103 8.18329 3.20852
7.83215e-05 495111 8.21856 3.30029
0.000138219 357677 9.09828 3.6343
4.9259e-05 793086 7.89071 2.91777
3.03404e-05 1.18556e+06 8.03225 2.46464
2.84138e-05 1.33848e+06 8.41916 3.46521
8.41944e-05 575750 8.63285 3.14332
0.000102073 405153 8.21299 3.03056
7.35986e-05 527574 8.57626 2.84155
0.000124976 362601 8.88786 3.47038
0.000125446 345433 8.69401 3.46798
0.000170222 280322 8.75238 2.8622
0.000161271 269510 8.31407 3.51672
0.000220089 259941 8.94885 3.39851
0.000227354 265796 9.37972 4.07127
0.000225325 275028 9.26003 3.58511
0.000194231 298865 9.63876 3.94622
0.000196553 264984 9.13821 3.61249
0.000181995 283386 9.02042 3.47626
0.00015219 330395 9.40753 4.48508
5.14003e-05 777170 8.54565 2.48904
0.000155059 317114 8.50232 2.96488
0.000130576 356702 8.81826 3.4408
0.000140742 318074 7.81504 2.3104
4.75235e-05 872817 8.1115 2.73801
0.000108248 442803 8.47526 2.81224
4.95195e-05 755706 8.53808 2.69786
0.000110991 380831 8.31593 3.4053
0.00014892 291470 8.4623 3.21293
0.00015076 344690 9.5728 4.27336
0.00012453 356890 8.40321 3.14455
0.00012276 355027 8.71018 3.13721
0.000188529 286189 9.26473 4.47498
0.00012851 330593 8.258 2.3387
7.85816e-05 558198 8.81707 3.35721
8.98604e-05 453575 8.07611 2.85239
9.22549e-05 476320 8.76409 3.34055
9.5754e-05 440127 8.50964 3.74646
0.000106541 367751 8.88974 3.87928
0.00010038 396754 8.30745 3.03775
0.0001209 355890 9.02483 3.82836
0.000114943 451446 9.11912 3.1543
9.66085e-05 419496 8.44641 4.21603
0.000114782 351002 7.63183 2.33797
0.000128069 297585 7.53374 2.95716
0.000130463 330828 8.19822 2.71026
9.72486e-05 427809 7.96035 2.82276
0.000126368 365279 8.44527 3.55132
5.22629e-05 709068 8.48784 3.42188
9.18534e-05 426006 8.43863 3.13575
4.89592e-05 888965 8.37796 3.41768
4.29487e-05 921999 8.53258 3.08361
9.93848e-05 401770 8.32069 3.28778
0.000126422 318041 8.29372 3.49751
6.45554e-05 607437 8.56068 3.03144
9.20881e-05 432707 8.54307 3.40432
0.000187963 285104 8.74563 3.32676
0.000137013 321067 8.48843 3.54582
0.000110196 405127 8.83424 3.65592
0.000107407 374298 7.61966 2.90432
0.000109814 359622 8.57834 2.83521
8.54084e-05 500210 8.93198 3.57068
9.86838e-05 407253 7.95007 3.26716
5.59992e-05 862390 9.14616 3.5661
0.000180592 257812 8.53923 3.54663
0.000179681 304532 9.00863 3.72103
0.000156099 315363 8.95048 3.75736
0.000145448 295233 8.2493 2.62829
0.00015744 292754 8.66874 3.26999
0.000115822 369666 8.04552 3.09821
0.000141102 343162 8.91928 3.61571
7.31372e-05 521193 7.91756 2.87814
0.00010543 406397 8.55656 3.49584
0.000112516 406075 9.31938 4.32226
0.000118927 374671 8.095 2.57452
0.000143736 361990 9.41436 3.67318
0.000146052 340250 9.78353 3.97419
0.000156172 278961 7.6234 3.08259
0.000106594 383351 8.37261 3.33579
8.16271e-05 438955 8.62921 3.72117
0.000119062 362800 8.77624 3.372
0.000130557 413880 8.93764 2.79927
0.000121655 391281 8.44023 2.93693
0.000138335 314661 8.52555 3.47958
0.000115755 375088 8.47788 3.36666
0.000172046 279597 8.72207 3.11095
0.000105477 420967 9.11989 4.11146
0.000147517 309673 8.58536 2.99424
0.000188989 267049 8.63371 3.24036
0.000125005 381394 8.77458 3.30788
0.000108451 387463 8.25271 2.721
0.000123133 365192 8.79156 3.51983
0.000132086 346264 8.82894 3.28559
0.000101072 413155 8.96834 3.60786
